Category,Topic,Question,Answer,
Government Scheme,PM Kisan Scheme,What is Pradhan Mantri Kisan Samman Nidhi?,"Pradhan Mantri Kisan Samman Nidhi (PM Kisan) is a new Central Sector Scheme to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs. Under the PM Kisan Scheme, the entire financial liability towards transfer of benefit to targeted beneficiaries will be borne by Government of India.",
Government Scheme,PM Kisan Scheme,Whether the benefits of the PM Kisan Scheme are admissible to only Small & Marginal Farmers' (SMF) families?,"No. In the beginning when the PM Kisan Scheme was launched on 24th February, 2019, its benefits were admissible only to Small & Marginal Farmers' (SMF) families, with combined landholding upto 2 hectare. The PM Kisan Scheme was later on revised w.e.f. 1.6.2019 and extended to all farmer families irrespective of the size of their landholdings.",
Government Scheme,PM Kisan Scheme,When was the PM Kisan Scheme launched?,"The PM Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019.",
Government Scheme,PM Kisan Scheme,From which date the PM Kisan Scheme has come into effect?,The PM Kisan Scheme takes effect from 01.12.2018.,
Government Scheme,PM Kisan Scheme,Who are eligible to get benefits under the PM Kisan Scheme?,"All landholding farmers' families, which have cultivable landholding in their names are eligible to get benefit under the PM Kisan Scheme.",
Government Scheme,PM Kisan Scheme,Who are not eligible to get benefits under the PM Kisan Scheme?,"Under the PM Kisan Scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months. The following categories are not eligible to get the benefits of the PM Kisan Scheme: (a) All Institutional Land holders; and (b) Farmer families in which one or more of its members belong to the following categories - i. Former and present holders of constitutional posts ii. Former and present Ministers/ State Ministers and former/present Members of Lok sabha/ Rajya sabha/ state Legislative Assemblies/ State Legislative councils, former and present Mayors of Municipal corporations, former and present Chairpersons of District Panchayats iii. All serving or retired officers and employees of Central/ State Government Ministries /Offices/Departments and its field units Central or State PSEs and Attached offices /Autonomous Institutions under Government as well as regular employees of the Local Bodies (Excluding Multi Tasking staff / Class IV/Group D employees) iv. All superannuated/retired pensioners Rs.10,000/-or more(Excluding Multi Tasking Staff / Class IV/Group D employees) v. All Persons who paid Income Tax in last assessment year vi. Professionals like Doctors, Engineers, Lawyers, Chartered Accountants, and Architects registered with Professional bodies and carrying out profession by undertaking practices.",
Government Scheme,PM Kisan Scheme,How many times the benefit will be given in a year under PM Kisan Scheme?,"Under the PM Kisan Scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months.",
Government Scheme,PM Kisan Scheme,"Whether an employee of the Central/State Government / PSU / Autonomous Organization, etc., who holds cultivable land in his/her own name in villages, is eligible to get the benefit under the PM Kisan Scheme?","No. All serving or retired officers and employees of central / state Government Ministries / Offices / Departments and their field units, Central or State PSEs and Attached offices / Autonomous Institutions under Government as well as regular employees of the Local Bodies are not eligible to get benefit under the PM Kisan Scheme.",
Government Scheme,PM Kisan Scheme,Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the PM Kisan Scheme?,"Yes. The ambit of the PM Kisan Scheme has been extended to cover all farmer families, irrespective of the size of their land holdings.",
Government Scheme,PM Kisan Scheme,What will happen if the beneficiary gives incorrect declaration for the implementation of the PM Kisan Scheme?,"In case of incorrect declaration, the beneficiary shall be liable for recovery of transferred financial benefit and other penal actions as per law.",
Government Scheme,PM Kisan Scheme,What is the cutoff date for determination of eligibility of beneficiaries under the PM Kisan Scheme?,"The cut-off date for determination of eligibility of beneficiaries under the PM Kisan Scheme is 01.02.2019 and no changes thereafter shall be considered for eligibility of benefit under the PM Kisan Scheme for next 5 years, except transfer of land on succession in case of death of landholder.",
Government Scheme,PM Kisan Scheme,Whether the PM Kisan Scheme benefits will be allowed in cases where transfer of ownership of cultivable land takes place after the cut-off date of 01.02.2019 on account of succession due to death of the landowner?,Yes. The PM Kisan Scheme benefits will be allowed in all such cases where transfer of ownership of cultivable land has taken place after the cut-off date of 01.02.2019 on account of succession due to death of the landowner.,
Government Scheme,PM Kisan Scheme,Is an income tax payee farmer or his/her spouse eligible to get benefit under the PM Kisan Scheme?,"No. If a member of the family is an income tax payee in the last assessment year, then the family is not eligible for benefit under the PM Kisan Scheme.",
Government Scheme,PM Kisan Scheme,What is the definition of 'family' under the PM Kisan Scheme?,"A landholder farmer's family is defined as 'a family comprising of husband, wife and minor children who own cultivable land as per the land records of the concerned State/UT'.",
Government Scheme,PM Kisan Scheme,"Is any person / farmer who is not having land holding in his/her own name, but is cultivating land owned by his/her father/forefathers eligible to get benefit under the PM Kisan Scheme?","No. The land must be in his/her own name. If the land ownership has been transferred in his/her name on account of succession, then he/she will be eligible.",
Government Scheme,PM Kisan Scheme,How will the beneficiaries under the PM Kisan Scheme be identified and shortlisted for payment of intended benefit?,The responsibility of identifying the eligible farmers' families for benefit under the PM Kisan Scheme is entirely of the State/UT Governments. The prevailing land-ownership system / record of land in different States/Union Territories will be used to identify the intended beneficiaries for transfer of scheme benefits.,
Government Scheme,PM Kisan Scheme,What is the mandatory information required to be submitted on the PM Kisan portal for the transfer of benefits?,"The following information / documents are required to be furnished by the farmers for enrollment under PM Kisan Scheme: (i) Name, Age, Gender and Category (SC/ST) (ii) Aadhaar Number [except in case of farmers in the States of Assam, Meghalaya and J&K (now UTs of J&K and Ladakh), where Aadhaar number has not been issued to most of the citizens] (iii) Bank Account Number and IFSC Code (iv) Mobile number - though it is not mandatory, but it is advised that when available it may be provided.",
Government Scheme,PM Kisan Scheme,How does a landholder farmer's family know that his/her name is included in the list of beneficiaries of the PM Kisan Scheme?,"The beneficiary lists would be displayed at Panchayats to ensure greater transparency and information. Further, States/UTs would notify the sanction of benefit to the beneficiary through system generated SMS. He/she can also ascertain his status through the Farmers Corner in the PM Kisan portal.",
Government Scheme,PM Kisan Scheme,What is the remedy available for eligible beneficiary if his/her name is not included in the list of beneficiaries of the PM Kisan Scheme?,All such farmer families whose names are not included in the list of beneficiaries can approach the District Level Grievance Redressal Monitoring Committee in their Districts for inclusion of their names in the beneficiary list.,
Government Scheme,PM Kisan Scheme,Will the monetary benefit under the PM Kisan Scheme be directly credited into beneficiary accounts?,Yes. The financial benefit under the PM Kisan Scheme shall be directly credited into bank accounts of beneficiaries.,
Government Scheme,PM Kisan Scheme,Whether it is compulsory for beneficiaries to give their bank account details?,"Yes, the beneficiaries are required to provide their bank account details along with their Aadhaar number so as to credit the financial benefit under the PM Kisan Scheme directly into their bank accounts. No benefit can be given if bank account details have not been provided.",
Government Scheme,PM Kisan Scheme,Whether giving Aadhaar details is mandatory for availing benefit under the PM Kisan Scheme?,"Aadhaar number was optional and not mandatory for release of 1st installment pertaining to the period 01.12.2018 to 31.03.2019, whereas only possession of Aadhaar number was made mandatory for release of 2nd installment pertaining to the period 01.04.2019 to 31.07.2019.",
Government Scheme,PM Kisan Scheme,What is the procedure for availing benefit under the PM Kisan Scheme?,"The farmers' families desirous of availing benefit under the PM Kisan Scheme are required to submit their application in the prescribed format to the concerned State/UT Government. The State/UT Governments will verify the eligibility of the applicants and upload their details on the PM Kisan portal. The financial benefit will be transferred directly into the bank accounts of eligible beneficiaries.",
Government Scheme,PM Kisan Scheme,What is the grievance redressal mechanism under the PM Kisan Scheme?,"The grievance redressal mechanism under the PM Kisan Scheme is as follows: (i) The grievances of the beneficiaries will be addressed at the level of State/UT Governments. (ii) The District Level Grievance Redressal Monitoring Committee will be constituted in each district to address the grievances of the beneficiaries. (iii) The grievances can also be lodged on the PM Kisan portal by the beneficiaries.",
Government Scheme,PM Kisan Scheme,What is the role of the State/UT Governments in the implementation of the PM Kisan Scheme?,"The State/UT Governments are responsible for identifying the eligible beneficiaries, uploading their details on the PM Kisan portal, and ensuring the transfer of benefits to the beneficiaries. They are also responsible for addressing the grievances of the beneficiaries.",
Government Scheme,PM Kisan Scheme,What is the role of the Ministry of Agriculture and Farmers' Welfare in the implementation of the PM Kisan Scheme?,"The Ministry of Agriculture and Farmers' Welfare is responsible for formulating the policy guidelines for the implementation of the PM Kisan Scheme, monitoring its implementation, and addressing the grievances of the beneficiaries at the national level.",
Government Scheme,PM Kisan Scheme,What is the role of the Ministry of Electronics and Information Technology in the implementation of the PM Kisan Scheme?,"The Ministry of Electronics and Information Technology is responsible for providing the necessary IT infrastructure for the implementation of the PM Kisan Scheme, including the development and maintenance of the PM Kisan portal.",
Government Scheme,PM Kisan Scheme,What is the role of the Ministry of Finance in the implementation of the PM Kisan Scheme?,"The Ministry of Finance is responsible for releasing the funds for the implementation of the PM Kisan Scheme and ensuring that the funds are utilized for the intended purpose.",
Government Scheme,PM Kisan Scheme,What is the role of the Ministry of Rural Development in the implementation of the PM Kisan Scheme?,"The Ministry of Rural Development is responsible for coordinating with the State/UT Governments for the implementation of the PM Kisan Scheme and ensuring that the benefits reach the intended beneficiaries.",
Government Scheme,PM Kisan Scheme,What is the role of the Ministry of Home Affairs in the implementation of the PM Kisan Scheme?,"The Ministry of Home Affairs is responsible for ensuring the security and safety of the beneficiaries and the funds released under the PM Kisan Scheme.",
Government Scheme,PM Kisan Scheme,What is the role of the Ministry of Information and Broadcasting in the implementation of the PM Kisan Scheme?,"The Ministry of Information and Broadcasting is responsible for creating awareness about the PM Kisan Scheme among the farmers and the general public through various media channels.",
Government Scheme,PM Kisan Scheme,What is the role of the Ministry of Law and Justice in the implementation of the PM Kisan Scheme?,"The Ministry of Law and Justice is responsible for providing legal advice and assistance for the implementation of the PM Kisan Scheme and ensuring that the scheme is implemented in accordance with the law.",
Government Scheme,Agriculture,What is the importance of agriculture in India?,"Agriculture is the backbone of the Indian economy. It provides employment to about 58% of the population and contributes about 17% to the GDP. Agriculture is also a major source of raw materials for various industries and plays a crucial role in the overall development of the country.",
Government Scheme,Agriculture,What are the major crops grown in India?,"The major crops grown in India include rice, wheat, pulses, oilseeds, sugarcane, cotton, jute, tea, coffee, and spices. India is also one of the largest producers of fruits and vegetables in the world.",
Government Scheme,Agriculture,What are the major challenges faced by the agriculture sector in India?,"The major challenges faced by the agriculture sector in India include: (i) Climate change and its impact on crop production (ii) Water scarcity and depletion of groundwater resources (iii) Land degradation and soil erosion (iv) Lack of access to credit and financial services (v) Inadequate infrastructure and marketing facilities (vi) Low productivity and income levels of farmers (vii) Pest and disease outbreaks (viii) Lack of access to modern technology and practices.",
Government Scheme,Agriculture,What are the measures taken by the government to promote agriculture in India?,"The government has taken several measures to promote agriculture in India, including: (i) Providing financial assistance and subsidies to farmers (ii) Implementing various schemes and programs for agricultural development (iii) Promoting research and development in agriculture (iv) Improving irrigation facilities and water management (v) Providing access to credit and financial services (vi) Promoting organic farming and sustainable agricultural practices (vii) Enhancing marketing facilities and infrastructure for farmers.",
Government Scheme,Agriculture,What is the role of technology in agriculture?,"Technology plays a crucial role in modernizing agriculture and improving productivity. It includes the use of advanced machinery, precision farming techniques, biotechnology, information technology, and data analytics to enhance crop production, reduce costs, and improve the overall efficiency of the agricultural sector.",
Government Scheme,Agriculture,What is organic farming?,"Organic farming is an agricultural system that seeks to produce food using natural processes and materials, avoiding the use of synthetic fertilizers, pesticides, and genetically modified organisms (GMOs). It emphasizes the use of organic matter, crop rotation, and biodiversity to maintain soil health and ecosystem balance.",
Government Scheme,Agriculture,What are the benefits of organic farming?,"The benefits of organic farming include: (i) Improved soil health and fertility (ii) Reduced chemical pollution and environmental impact (iii) Enhanced biodiversity and ecosystem services (iv) Improved food quality and safety (v) Higher market prices for organic produce (vi) Better resilience to climate change and pests.",
Government Scheme,Agriculture,What is precision farming?,"Precision farming is an advanced agricultural practice that uses technology and data analytics to optimize crop production and resource use. It involves the use of GPS, sensors, drones, and data management systems to monitor and manage field variability in crops, soil, and weather conditions.",
Government Scheme,Agriculture,What are the benefits of precision farming?,"The benefits of precision farming include: (i) Increased crop yields and productivity (ii) Reduced input costs and resource use (iii) Improved environmental sustainability (iv) Enhanced decision-making and risk management (v) Better monitoring and management of crop health and performance.",
Government Scheme,Agriculture,What is the role of cooperatives in agriculture?,"Cooperatives play a significant role in promoting agriculture by providing farmers with access to credit, inputs, marketing facilities, and technical assistance. They help in reducing the cost of production, improving bargaining power, and enhancing the income levels of farmers.",
Government Scheme,Agriculture,What are the major agricultural cooperatives in India?,"The major agricultural cooperatives in India include: (i) Indian Farmers Fertiliser Cooperative (IFFCO) (ii) National Agricultural Cooperative Marketing Federation of India (NAFED) (iii) Amul Dairy Cooperative (iv) Krishak Bharati Cooperative Limited (KRIBHCO) (v) National Cooperative Development Corporation (NCDC).",
Government Scheme,Agriculture,What is the role of the Agricultural Produce Market Committee (APMC)?,"The Agricultural Produce Market Committee (APMC) is a statutory body established under the APMC Act to regulate the marketing of agricultural produce in India. It aims to provide a fair and transparent market for farmers and protect their interests by ensuring fair prices for their produce.",
Government Scheme,Agriculture,What are the major agricultural marketing schemes in India?,"The major agricultural marketing schemes in India include: (i) Minimum Support Price (MSP) scheme (ii) National Agricultural Market (e-NAM) (iii) Direct Benefit Transfer (DBT) scheme (iv) Agricultural Marketing Infrastructure (AMI) scheme (v) Grameen Agricultural Markets (GAM) scheme.",
Government Scheme,Agriculture,What is the Minimum Support Price (MSP) scheme?,"The Minimum Support Price (MSP) scheme is a government initiative to provide farmers with a guaranteed price for their produce. It aims to protect farmers from price fluctuations and ensure that they receive a fair return on their investment.",
Government Scheme,Agriculture,What is the National Agricultural Market (e-NAM)?,"The National Agricultural Market (e-NAM) is an online trading platform for agricultural commodities in India. It aims to create a unified national market for agricultural produce by integrating existing APMC mandis and providing farmers with access to better prices and markets.",
Government Scheme,Agriculture,What is the Direct Benefit Transfer (DBT) scheme?,"The Direct Benefit Transfer (DBT) scheme is a government initiative to transfer subsidies and benefits directly to the bank accounts of beneficiaries. It aims to eliminate middlemen and ensure that the benefits reach the intended recipients without any leakage.",
Government Scheme,Agriculture,What is the Agricultural Marketing Infrastructure (AMI) scheme?,"The Agricultural Marketing Infrastructure (AMI) scheme is a government initiative to promote the development of marketing infrastructure for agricultural produce. It aims to enhance the marketing facilities and infrastructure for farmers and improve their income levels.",
Government Scheme,Agriculture,What are the Grameen Agricultural Markets (GAM) scheme?,"The Grameen Agricultural Markets (GAM) scheme is a government initiative to promote the establishment of rural markets for agricultural produce. It aims to provide farmers with access to better marketing facilities and improve their income levels.",
Government Scheme,Agriculture,What is the role of the National Bank for Agriculture and Rural Development (NABARD) in agriculture?,"The National Bank for Agriculture and Rural Development (NABARD) is a development bank that provides credit and financial assistance to the agriculture and rural development sectors in India. It plays a crucial role in promoting agricultural development, rural infrastructure, and financial inclusion.",
Government Scheme,Agriculture,What are the major schemes and programs implemented by NABARD?,"The major schemes and programs implemented by NABARD include: (i) Rural Infrastructure Development Fund (RIDF) (ii) Self-Employment and Skill Development Program (SESDP) (iii) Financial Inclusion and Literacy Program (FILP) (iv) NABARD Infrastructure Development Assistance (NIDA) (v) NABARD's Development Initiatives for Rural Livelihoods and Empowerment (DIRE).",
Government Scheme,Agriculture,What is the role of the Indian Council of Agricultural Research (ICAR) in agriculture?,"The Indian Council of Agricultural Research (ICAR) is the apex body for agricultural research and education in India. It plays a crucial role in promoting research and development in agriculture, improving crop varieties, and enhancing agricultural productivity.",
Government Scheme,Agriculture,What are the major research institutes under ICAR?,"The major research institutes under ICAR include: (i) Indian Agricultural Research Institute (IARI) (ii) Indian Institute of Horticultural Research (IIHR) (iii) Indian Institute of Pulses Research (IIPR) (iv) Indian Institute of Oilseeds Research (IIOR) (v) Indian Institute of Rice Research (IIRR).",
Government Scheme,Agriculture,What is the role of the Ministry of Agriculture and Farmers' Welfare in agriculture?,"The Ministry of Agriculture and Farmers' Welfare is responsible for formulating and implementing policies and programs for the development of agriculture and farmers in India. It plays a crucial role in promoting agricultural productivity, improving farmers' income, and ensuring food security in the country.",
Government Scheme,Agriculture,What are the major schemes and programs implemented by the Ministry of Agriculture and Farmers' Welfare?,"The major schemes and programs implemented by the Ministry of Agriculture and Farmers' Welfare include: (i) Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) (ii) Pradhan Mantri Fasal Bima Yojana (PMFBY) (iii) Soil Health Card Scheme (iv) National Mission for Sustainable Agriculture (NMSA) (v) National Food Security Mission (NFSM).",